"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"ICICIBANK","EQ","06-Oct-2025","1,365.20","1,371.00","1,372.60","1,359.10","1,363.90","1,363.40","1,364.15","1,43,14,283","19,52,68,28,804.40","2,00,684","90,35,178","63.12"
"ICICIBANK","EQ","03-Oct-2025","1,372.00","1,371.90","1,371.90","1,361.30","1,365.00","1,365.20","1,366.86","1,21,63,695","16,62,61,22,666.10","1,92,526","78,43,803","64.49"
"ICICIBANK","EQ","01-Oct-2025","1,348.00","1,348.00","1,379.40","1,347.10","1,372.00","1,372.00","1,368.92","2,09,52,632","28,68,25,59,363.90","4,90,279","1,44,34,125","68.89"
"ICICIBANK","EQ","30-Sep-2025","1,348.10","1,353.70","1,356.60","1,342.60","1,348.90","1,348.00","1,349.21","2,01,66,871","27,20,93,26,360.40","2,14,277","1,14,28,934","56.67"
"ICICIBANK","EQ","29-Sep-2025","1,359.60","1,359.60","1,366.50","1,346.20","1,350.00","1,348.10","1,352.69","2,05,63,163","27,81,56,85,218.20","2,77,001","1,46,72,392","71.35"
"ICICIBANK","EQ","26-Sep-2025","1,375.80","1,368.00","1,372.70","1,357.00","1,362.50","1,359.60","1,363.33","1,83,42,280","25,00,66,44,406.50","1,83,369","1,36,53,656","74.44"
"ICICIBANK","EQ","25-Sep-2025","1,382.70","1,377.00","1,391.50","1,371.80","1,373.70","1,375.80","1,378.32","2,16,13,389","29,79,00,90,966.10","1,96,991","1,39,57,730","64.58"
"ICICIBANK","EQ","24-Sep-2025","1,394.30","1,386.40","1,390.90","1,376.50","1,383.00","1,382.70","1,382.20","97,35,678","13,45,66,84,266.10","2,10,851","63,68,751","65.42"
"ICICIBANK","EQ","23-Sep-2025","1,401.50","1,391.00","1,403.30","1,391.00","1,396.10","1,394.30","1,396.75","1,28,27,524","17,91,68,01,862.90","1,97,247","65,10,966","50.76"
"ICICIBANK","EQ","22-Sep-2025","1,402.20","1,403.90","1,409.90","1,397.20","1,402.20","1,401.50","1,403.29","88,47,948","12,41,62,09,740.20","1,13,260","55,27,113","62.47"
"ICICIBANK","EQ","19-Sep-2025","1,421.70","1,416.10","1,418.00","1,400.20","1,402.50","1,402.20","1,404.18","1,34,57,344","18,89,65,59,650.80","1,72,737","97,80,490","72.68"
"ICICIBANK","EQ","18-Sep-2025","1,419.20","1,431.10","1,432.80","1,415.30","1,423.00","1,421.70","1,422.48","81,30,537","11,56,55,63,636.60","1,65,955","37,94,140","46.67"
"ICICIBANK","EQ","17-Sep-2025","1,421.60","1,420.10","1,426.10","1,416.40","1,417.20","1,419.20","1,420.85","74,84,283","10,63,40,07,393.70","1,31,200","47,34,134","63.25"
"ICICIBANK","EQ","16-Sep-2025","1,419.40","1,414.00","1,424.90","1,413.70","1,422.40","1,421.60","1,420.63","82,13,151","11,66,78,59,743.80","1,39,536","47,47,325","57.80"
"ICICIBANK","EQ","15-Sep-2025","1,417.70","1,422.00","1,426.80","1,416.30","1,418.00","1,419.40","1,421.99","58,45,637","8,31,24,11,904.60","1,30,816","34,03,396","58.22"
"ICICIBANK","EQ","12-Sep-2025","1,401.60","1,405.10","1,419.70","1,400.10","1,417.50","1,417.70","1,412.86","77,70,038","10,97,79,91,343.80","1,65,154","57,30,841","73.76"
"ICICIBANK","EQ","11-Sep-2025","1,403.90","1,398.00","1,408.00","1,396.00","1,401.60","1,401.60","1,403.25","1,01,92,026","14,30,19,23,215.80","1,81,447","42,47,846","41.68"
"ICICIBANK","EQ","10-Sep-2025","1,403.70","1,410.00","1,413.70","1,402.10","1,403.30","1,403.90","1,407.17","74,52,347","10,48,67,22,637.70","2,16,180","51,46,529","69.06"
"ICICIBANK","EQ","09-Sep-2025","1,402.70","1,399.00","1,407.50","1,395.20","1,402.40","1,403.70","1,401.81","64,70,679","9,07,06,76,168.90","1,29,854","28,29,800","43.73"
"ICICIBANK","BL","09-Sep-2025","1,422.90","1,402.70","1,402.70","1,402.70","1,402.70","1,402.70","1,402.70","7,75,000","1,08,70,92,500.00","1","-","-"
"ICICIBANK","EQ","08-Sep-2025","1,402.80","1,402.20","1,410.60","1,397.60","1,403.00","1,402.70","1,404.56","58,80,943","8,26,01,53,082.30","1,33,142","36,52,150","62.10"
"ICICIBANK","EQ","05-Sep-2025","1,405.50","1,411.00","1,411.50","1,387.70","1,402.30","1,402.80","1,397.54","66,21,077","9,25,32,43,890.30","1,29,950","40,86,124","61.71"
