"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","11-Sep-2026","1,274.00","1,267.00","1,267.40","1,253.00","1,257.50","1,257.50","1,259.27","87,77,736","11,05,35,01,876.90","2,31,742","40,61,266","54.50"
"RELIANCE","EQ","10-Sep-2026","1,279.00","1,278.50","1,285.30","1,266.30","1,274.00","1,274.00","1,273.47","92,96,079","11,83,82,69,882.30","1,79,169","50,49,468","54.32"
"RELIANCE","EQ","09-Sep-2026","1,294.90","1,283.50","1,294.70","1,277.20","1,279.00","1,279.00","1,285.95","1,21,52,819","15,62,79,65,472.10","2,48,577","76,84,696","63.23"
"RELIANCE","EQ","08-Sep-2026","1,309.50","1,304.10","1,306.80","1,288.00","1,294.90","1,294.90","1,294.18","97,99,528","12,68,23,21,399.50","1,83,733","57,13,748","58.31"
"RELIANCE","EQ","07-Sep-2026","1,322.00","1,323.10","1,324.20","1,301.90","1,309.50","1,309.50","1,308.83","1,02,10,522","13,36,38,75,854.60","2,31,898","69,69,619","68.26"
"RELIANCE","EQ","04-Sep-2026","1,302.50","1,304.10","1,333.00","1,304.10","1,322.00","1,322.00","1,326.29","1,30,31,534","17,28,35,87,823.90","1,81,295","86,00,946","66.00"
"RELIANCE","EQ","03-Sep-2026","1,313.10","1,313.10","1,316.80","1,302.50","1,302.50","1,302.50","1,308.70","97,21,454","12,72,24,56,176.50","1,58,231","53,06,274","54.58"
"RELIANCE","EQ","02-Sep-2026","1,309.00","1,298.00","1,321.90","1,293.10","1,313.10","1,313.10","1,308.95","1,34,97,841","17,66,80,58,961.20","1,96,257","84,62,199","62.69"
"RELIANCE","EQ","01-Sep-2026","1,277.00","1,285.00","1,311.80","1,280.00","1,309.00","1,309.00","1,299.72","1,26,17,528","16,39,92,80,651.70","1,87,471","74,56,999","59.10"
"RELIANCE","EQ","31-Aug-2026","1,287.00","1,278.70","1,297.60","1,271.00","1,277.00","1,277.00","1,278.43","3,48,71,137","44,58,02,83,834.50","2,44,866","3,03,29,813","86.98"
"RELIANCE","EQ","28-Aug-2026","1,282.20","1,284.90","1,291.80","1,280.00","1,287.00","1,287.00","1,284.52","68,30,228","8,77,35,45,135.70","1,66,675","40,52,582","59.33"
"RELIANCE","EQ","27-Aug-2026","1,298.00","1,305.00","1,308.40","1,282.20","1,282.20","1,282.20","1,292.18","1,12,71,497","14,56,48,25,828.90","2,18,067","62,82,905","55.74"
"RELIANCE","EQ","26-Aug-2026","1,317.00","1,310.00","1,315.60","1,298.00","1,298.00","1,298.00","1,305.66","57,44,474","7,50,03,40,576.20","99,432","36,68,643","63.86"
"RELIANCE","EQ","25-Aug-2026","1,309.80","1,304.30","1,317.10","1,300.00","1,317.00","1,317.00","1,305.89","71,15,355","9,29,18,91,624.70","1,04,584","37,66,609","52.94"
