symbol,series,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_inr,no_of_trades,deliverable_qty,deliverable_pct,daily_return,adjustment_factor_applied,adjusted_open_price,adjusted_high_price,adjusted_low_price,adjusted_close_price,adjusted_last_price,adjusted_average_price,adjusted_prev_close,adjusted_daily_return,corporate_action_date,raw_extreme_return,adjusted_extreme_return
SBIN,EQ,2022-04-26,494.75,499.0,507.9,498.45,505.5,505.5,504.31,12137213,6120898078.0,158992,4814676,39.67,0.0217281455280444,1.0,499.0,507.9,498.45,505.5,505.5,504.31,494.75,0.021728145528044474,False,False,False
SBIN,EQ,2022-04-27,505.5,500.0,502.8,491.85,497.85,497.25,496.78,12367342,6143829183.05,142885,4836551,39.11,-0.016320474777448,1.0,500.0,502.8,491.85,497.25,497.85,496.78,505.5,-0.016320474777448024,False,False,False
SBIN,EQ,2022-04-28,497.25,499.15,510.0,496.5,507.7,507.5,503.04,12154792,6114331932.3,134713,4344540,35.74,0.0206133735545499,1.0,499.15,510.0,496.5,507.5,507.7,503.04,497.25,0.020613373554549952,False,False,False
SBIN,EQ,2022-04-29,507.5,508.1,512.5,494.0,495.9,496.3,503.59,12894773,6493703529.65,143518,4513960,35.01,-0.0220689655172413,1.0,508.1,512.5,494.0,496.3,495.9,503.59,507.5,-0.022068965517241357,False,False,False
SBIN,EQ,2022-05-02,496.3,492.65,495.0,481.3,490.9,491.0,487.35,18590895,9060263031.45,232328,8272742,44.5,-0.0106790247833971,1.0,492.65,495.0,481.3,491.0,490.9,487.35,496.3,-0.010679024783397106,False,False,False
SBIN,EQ,2022-05-04,491.0,492.0,496.45,477.5,478.5,479.65,487.2,14645323,7135245642.5,221907,4678363,31.94,-0.0231160896130346,1.0,492.0,496.45,477.5,479.65,478.5,487.2,491.0,-0.023116089613034685,False,False,False
SBIN,EQ,2022-05-05,479.65,485.0,494.0,478.65,480.0,480.0,487.16,14130385,6883760406.35,185153,4737190,33.52,0.0007296987386635,1.0,485.0,494.0,478.65,480.0,480.0,487.16,479.65,0.0007296987386635756,False,False,False
SBIN,EQ,2022-05-06,480.0,471.0,486.1,471.0,485.5,483.95,478.71,16710020,7999171104.8,216166,5518027,33.02,0.0082291666666667,1.0,471.0,486.1,471.0,483.95,485.5,478.71,480.0,0.008229166666666732,False,False,False
SBIN,EQ,2022-05-09,483.95,477.1,483.7,473.8,476.45,475.9,477.81,13544947,6471855072.45,170758,5364082,39.6,-0.0166339497882013,1.0,477.1,483.7,473.8,475.9,476.45,477.81,483.95,-0.01663394978820132,False,False,False
SBIN,EQ,2022-05-10,475.9,477.0,482.55,473.5,474.0,475.2,477.99,10884328,5202612034.7,183663,3973819,36.51,-0.0014708972473208,1.0,477.0,482.55,473.5,475.2,474.0,477.99,475.9,-0.001470897247320857,False,False,False
SBIN,EQ,2022-05-11,475.2,475.25,479.0,463.65,478.4,476.55,471.45,14771351,6963938211.0,241751,4964332,33.61,0.0028409090909091,1.0,475.25,479.0,463.65,476.55,478.4,471.45,475.2,0.0028409090909091717,False,False,False
SBIN,EQ,2022-05-12,476.55,473.0,473.0,456.35,462.7,462.65,462.77,18947096,8768075747.5,314035,6321015,33.36,-0.0291679781764768,1.0,473.0,473.0,456.35,462.65,462.7,462.77,476.55,-0.029167978176476872,False,False,False
SBIN,EQ,2022-05-13,462.65,469.45,477.0,439.75,440.5,444.65,461.88,61403008,28360528047.6,595336,21063112,34.3,-0.0389063006592456,1.0,469.45,477.0,439.75,444.65,440.5,461.88,462.65,-0.03890630065924561,False,False,False
SBIN,EQ,2022-05-16,444.65,445.0,461.5,438.85,456.0,455.0,454.93,27940958,12711054077.2,283950,8746208,31.3,0.0232767345102891,1.0,445.0,461.5,438.85,455.0,456.0,454.93,444.65,0.02327673451028911,False,False,False
SBIN,EQ,2022-05-17,455.0,458.3,469.65,456.15,467.45,467.3,462.65,16880698,7809801121.7,206674,6120436,36.26,0.0270329670329669,1.0,458.3,469.65,456.15,467.3,467.45,462.65,455.0,0.02703296703296698,False,False,False
SBIN,EQ,2022-05-18,467.3,467.9,468.6,457.1,458.25,458.0,463.11,15644497,7245121118.3,205591,6429531,41.1,-0.0199015621656323,1.0,467.9,468.6,457.1,458.0,458.25,463.11,467.3,-0.019901562165632325,False,False,False
SBIN,EQ,2022-05-19,458.0,449.05,450.0,444.45,449.0,447.5,447.36,14201420,6353183667.3,223399,5706783,40.18,-0.0229257641921397,1.0,449.05,450.0,444.45,447.5,449.0,447.36,458.0,-0.022925764192139764,False,False,False
SBIN,EQ,2022-05-20,447.5,454.85,464.0,454.15,462.5,462.4,460.64,13596860,6263239735.25,151413,5179315,38.09,0.0332960893854747,1.0,454.85,464.0,454.15,462.4,462.5,460.64,447.5,0.03329608938547479,False,False,False
SBIN,EQ,2022-05-23,462.4,463.1,471.4,459.5,461.0,460.9,465.61,13499415,6285493530.75,170499,5048653,37.4,-0.0032439446366782,1.0,463.1,471.4,459.5,460.9,461.0,465.61,462.4,-0.0032439446366782088,False,False,False
SBIN,EQ,2022-05-24,460.9,462.4,466.8,460.2,463.0,462.05,463.29,17175179,7957058574.6,139005,8555677,49.81,0.0024951182469084,1.0,462.4,466.8,460.2,462.05,463.0,463.29,460.9,0.002495118246908401,False,False,False
SBIN,EQ,2022-05-25,462.05,461.0,464.45,452.05,453.45,454.1,458.77,12728644,5839499480.45,154093,4570376,35.91,-0.0172059300941456,1.0,461.0,464.45,452.05,454.1,453.45,458.77,462.05,-0.017205930094145616,False,False,False
SBIN,EQ,2022-05-26,454.1,456.85,470.1,452.5,469.6,468.9,460.09,17055257,7846911655.75,208123,6310397,37.0,0.032591940101299,1.0,456.85,470.1,452.5,468.9,469.6,460.09,454.1,0.032591940101299066,False,False,False
SBIN,EQ,2022-05-27,468.9,471.4,475.0,467.5,468.0,468.95,470.69,10977001,5166782867.5,160651,2866709,26.12,0.0001066325442524,1.0,471.4,475.0,467.5,468.95,468.0,470.69,468.9,0.00010663254425247182,False,False,False
SBIN,EQ,2022-05-30,468.95,473.0,476.9,471.1,474.8,474.6,474.04,9365470,4439626587.15,151679,3413721,36.45,0.0120481927710844,1.0,473.0,476.9,471.1,474.6,474.8,474.04,468.95,0.012048192771084487,False,False,False
SBIN,EQ,2022-05-31,474.6,474.0,476.4,465.0,467.6,468.1,471.12,15441579,7274761527.75,149463,8086708,52.37,-0.0136957437842393,1.0,474.0,476.4,465.0,468.1,467.6,471.12,474.6,-0.013695743784239323,False,False,False
