symbol,series,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_inr,no_of_trades,deliverable_qty,deliverable_pct,daily_return
SBIN,EQ,2021-09-13,432.3,430.1,433.8,428.8,432.95,432.85,431.52,9567921,4128785656.45,124293,3430248,35.85,
SBIN,EQ,2021-09-14,432.85,435.0,436.75,432.25,432.95,433.0,434.37,9981562,4335668388.45,119218,4167481,41.75,0.0003465403719533633
SBIN,EQ,2021-09-15,433.0,433.0,445.0,431.45,444.2,443.85,439.44,22181568,9747550178.0,227051,8683362,39.15,0.025057736720554225
SBIN,EQ,2021-09-16,443.85,444.85,466.1,442.75,465.0,463.7,455.79,42637448,19433511482.4,389525,14981767,35.14,0.04472231609778077
SBIN,EQ,2021-09-17,463.7,468.0,471.9,450.35,453.25,454.1,459.32,41529478,19075457112.55,365811,14905679,35.89,-0.020703040759111446
SBIN,EQ,2021-09-20,454.1,449.4,453.5,435.65,436.9,437.45,444.85,18376916,8174909143.45,224634,5361436,29.17,-0.03666593261396178
SBIN,EQ,2021-09-21,437.45,440.15,441.35,432.65,439.55,438.8,436.88,17279588,7549077506.2,187042,5134035,29.71,0.003086066979083313
SBIN,EQ,2021-09-22,438.8,438.9,442.8,436.1,439.9,438.85,439.41,14321143,6292868435.2,163766,5430263,37.92,0.00011394712853229905
SBIN,EQ,2021-09-23,438.85,442.4,451.15,442.05,450.0,449.8,448.38,20516770,9199216292.7,205927,8211883,40.03,0.024951577987923024
SBIN,EQ,2021-09-24,449.8,451.1,451.9,440.0,440.65,440.75,443.93,10731274,4763973709.0,131592,2970394,27.68,-0.020120053357047585
SBIN,EQ,2021-09-27,440.75,444.9,450.55,442.25,446.0,446.6,447.06,11746892,5251571390.7,153034,3999470,34.05,0.013272830402722757
SBIN,EQ,2021-09-28,446.6,449.2,455.8,439.6,444.65,444.9,448.31,19241170,8626038318.15,199169,5139742,26.71,-0.0038065382892970012
SBIN,EQ,2021-09-29,444.9,441.85,462.3,439.1,459.7,460.0,455.43,38635938,17595781811.2,276232,17529709,45.37,0.03394021128343461
SBIN,EQ,2021-09-30,460.0,459.95,464.9,451.4,453.0,453.0,456.78,26530369,12118427234.5,263399,9267354,34.93,-0.01521739130434785
SBIN,EQ,2021-10-01,453.0,448.5,455.55,443.8,452.0,451.65,451.04,14777309,6665106556.2,155872,4497093,30.43,-0.00298013245033113
SBIN,EQ,2021-10-04,451.65,453.8,464.4,451.6,462.5,463.15,459.53,16246765,7465819749.15,165717,6123342,37.69,0.02546219417690687
SBIN,EQ,2021-10-05,463.15,462.0,469.0,458.7,463.7,464.7,462.56,16487568,7626535668.6,173621,6198603,37.6,0.003346647954226567
